VvINV2,VvACYT,VvADH1,VvAGPL,VvHP,VvDMR6,VvLOX,VvOLP,VvSAMT,VvSUSY,VvWRKY,VvCASY,VvCKO,VvGLC1,VvGLC2,VvGLC3,status
NA,-1.643686775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.533531546,NA,-0.652263871,0
NA,NA,0.086748691,-0.515612587,0.675296567,2.560119827,0.223828766,NA,0.267770763,NA,1.5301835,0.709772917,-0.861696328,0.851512366,2.994551616,-0.381858865,0
0.294227611,2.103057074,-0.105018138,-0.104997128,3.453091464,-0.375687145,3.181641492,-0.614643815,1.699738246,1.498460256,-0.032966053,1.220305708,-0.099740851,NA,-0.396394075,-0.656698099,0
-0.682374809,0.284800283,-1.254731474,-0.953884444,-0.964342771,-0.458250982,-1.765102763,NA,-0.96112675,-1.396810042,-0.771084522,-1.080293649,-0.756190732,-0.63936799,-0.480150963,-0.946244642,0
-0.249927592,NA,NA,NA,1.425179869,-0.522669413,-0.560418382,NA,0.800543353,-0.543537142,NA,-0.516397466,0.213666884,-0.448392426,NA,0.61530843,0
0.990880083,NA,0.440058542,NA,0.042259264,-0.200732187,NA,NA,NA,0.810587073,0.718686447,2.017966462,0.834768223,-0.245079857,-0.288549017,1.107181711,0
2.094175958,-0.982692759,NA,0.728081613,NA,NA,NA,NA,2.074527737,0.761333849,NA,NA,0.441412134,NA,-0.285464761,0.595828329,0
2.200034799,2.227705647,-0.768252102,-0.575604393,-0.282110623,-0.357744255,-0.641330211,NA,1.283871359,-0.13111713,-0.562556339,-0.551816531,-0.289414888,-0.395883352,-0.440939665,0.272767663,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.612583088,NA,NA,0
2.08965974,NA,-0.952061669,15.37597315,NA,7.426580856,1.223410138,1.062563174,19.09518675,-0.492739522,5.888996374,0.275711222,-1.204088099,8.781040697,11.07513002,5.424671734,1
NA,NA,-1.507164716,1.989099876,-1.546608442,0.275614168,-1.505585144,1.716877211,-0.287086293,-1.2833977,0.005185561,-0.448258627,-1.3084923,0.308897336,3.396009908,NA,1
-0.667084356,NA,-1.004803567,-1.030018326,-1.253806558,-0.438377396,NA,-0.667114443,-0.713176276,-1.185315367,-0.295284366,0.062802695,-0.404536738,NA,-0.407253592,-0.431913181,0
-1.160769041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-1.117444265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.71910388,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,-0.687771581,NA,NA,NA,NA,NA,-0.708084927,-0.491152564,NA,0
NA,1.211809444,NA,-1.747342237,NA,NA,-1.662888876,NA,NA,NA,NA,NA,-1.723044622,NA,-0.460596371,-1.465969565,0
NA,-0.726496531,NA,NA,-0.355903925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.502824155,0
